Link,Date,Name,Opponent,F1_Win,F1_Draw,Result_clean,EndRound
http://www.ufcstats.com/fighter-details/231cae8b77fbbcc1,2018-09-15,Khalid Murtazaliev,CB Dollaway,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/232c582f29f8f65e,2017-04-08,Gegard Mousasi,Chris Weidman,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/232c582f29f8f65e,2016-11-19,Gegard Mousasi,Uriah Hall,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/232c582f29f8f65e,2016-10-08,Gegard Mousasi,Vitor Belfort,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/232c582f29f8f65e,2016-07-09,Gegard Mousasi,Thiago Santos,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/232c582f29f8f65e,2016-02-27,Gegard Mousasi,Thales Leites,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/23459ee7e373b98f,2013-08-31,Jared Hamman,Magnus Cedenblad,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/23459ee7e373b98f,2012-08-11,Jared Hamman,Michael Kuiper,FALSE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/23459ee7e373b98f,2011-12-10,Jared Hamman,Constantinos Philippou,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/23459ee7e373b98f,2011-08-14,Jared Hamman,CB Dollaway,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/23459ee7e373b98f,2010-09-15,Jared Hamman,Kyle Kingsbury,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/234f3767ff0e5701,2011-05-28,Kendall Grove,Tim Boetsch,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/234f3767ff0e5701,2010-12-04,Kendall Grove,Demian Maia,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/234f3767ff0e5701,2010-07-03,Kendall Grove,Goran Reljic,TRUE,FALSE,Split Decision,3
http://www.ufcstats.com/fighter-details/234f3767ff0e5701,2010-04-10,Kendall Grove,Mark Munoz,FALSE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/234f3767ff0e5701,2009-11-21,Kendall Grove,Jake Rosholt,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/236a37d96d476164,2015-12-11,Mike Pierce,Ryan LaFlare,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/236a37d96d476164,2013-10-09,Mike Pierce,Rousimar Palhares,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/236a37d96d476164,2013-07-06,Mike Pierce,David Mitchell,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/236a37d96d476164,2012-12-14,Mike Pierce,Seth Baczynski,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/236a37d96d476164,2012-10-05,Mike Pierce,Aaron Simpson,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/237187ed9f419285,1995-07-14,Jack McGlaughlin,Joel Sutton,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/23725c826c481e7f,2010-05-08,Paul Daley,Josh Koscheck,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/23725c826c481e7f,2010-01-02,Paul Daley,Dustin Hazelett,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/23725c826c481e7f,2009-09-19,Paul Daley,Martin Kampmann,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/23a16ebe733e3041,2010-03-27,Rory Markham,Nate Diaz,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/23a16ebe733e3041,2009-02-21,Rory Markham,Dan Hardy,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/23a16ebe733e3041,2008-07-19,Rory Markham,Brodie Farber,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/23a6e307077c6ccc,2016-07-09,Enrique Marin,Sage Northcutt,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/23a6e307077c6ccc,2015-11-21,Enrique Marin,Erick Montano,FALSE,FALSE,Split Decision,3
http://www.ufcstats.com/fighter-details/23ab42947c1990e3,1994-12-16,Ron van Clief,Royce Gracie,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/24174a3f44ce8e03,2017-09-22,Chan-Mi Jeon,Syuri Kondo,FALSE,FALSE,Split Decision,3
http://www.ufcstats.com/fighter-details/24174a3f44ce8e03,2017-06-10,Chan-Mi Jeon,JJ Aldrich,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/242d36d241b43c12,2019-10-12,Kron Gracie,Cub Swanson,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/242d36d241b43c12,2019-02-17,Kron Gracie,Alex Caceres,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/24656ef4d605c96f,2022-07-09,Aiemann Zahabi,Ricky Turcios,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/24656ef4d605c96f,2021-02-20,Aiemann Zahabi,Drako Rodriguez,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/24656ef4d605c96f,2019-05-04,Aiemann Zahabi,Vince Morales,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/24656ef4d605c96f,2017-11-04,Aiemann Zahabi,Ricardo Ramos,FALSE,FALSE,Knockout,3
http://www.ufcstats.com/fighter-details/24656ef4d605c96f,2017-02-19,Aiemann Zahabi,Reginaldo Vieira,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/24b033b3daf1c9df,2012-10-13,Luiz Cane,Chris Camozzi,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/24b033b3daf1c9df,2011-08-27,Luiz Cane,Stanislav Nedkov,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/24b033b3daf1c9df,2011-03-19,Luiz Cane,Eliot Marshall,TRUE,FALSE,Knockout,1
